"","series","ts","value","max","twd","gro_yr","frost","flags","version"
"1","655",2022-09-01,38,38,0,0,FALSE,NA,"0.1.4"
"2","655",2022-09-01 00:15:00,37,38,1,0,FALSE,NA,"0.1.4"
"3","655",2022-09-01 00:30:00,37,38,1,0,FALSE,NA,"0.1.4"
"4","655",2022-09-01 00:45:00,37,38,1,0,FALSE,NA,"0.1.4"
"5","655",2022-09-01 01:00:00,37,38,1,0,FALSE,NA,"0.1.4"
"6","655",2022-09-01 01:15:00,38,38,0,0,FALSE,NA,"0.1.4"
"7","655",2022-09-01 01:30:00,37,38,1,0,FALSE,NA,"0.1.4"
"8","655",2022-09-01 01:45:00,37,38,1,0,FALSE,NA,"0.1.4"
"9","655",2022-09-01 02:00:00,39,39,0,1,FALSE,NA,"0.1.4"
"10","655",2022-09-01 02:15:00,40,40,0,2,FALSE,NA,"0.1.4"
"11","655",2022-09-01 02:30:00,41,41,0,3,FALSE,NA,"0.1.4"
"12","655",2022-09-01 02:45:00,43,43,0,5,FALSE,NA,"0.1.4"
"13","655",2022-09-01 03:00:00,47,47,0,9,FALSE,NA,"0.1.4"
"14","655",2022-09-01 03:15:00,52,52,0,14,FALSE,NA,"0.1.4"
"15","655",2022-09-01 03:30:00,54,54,0,16,FALSE,NA,"0.1.4"
"16","655",2022-09-01 03:45:00,58,58,0,20,FALSE,NA,"0.1.4"
"17","655",2022-09-01 04:00:00,60,60,0,22,FALSE,NA,"0.1.4"
"18","655",2022-09-01 04:15:00,65,65,0,27,FALSE,NA,"0.1.4"
"19","655",2022-09-01 04:30:00,68,68,0,30,FALSE,NA,"0.1.4"
"20","655",2022-09-01 04:45:00,72,72,0,34,FALSE,NA,"0.1.4"
"21","655",2022-09-01 05:00:00,76,76,0,38,FALSE,NA,"0.1.4"
"22","655",2022-09-01 05:15:00,82,82,0,44,FALSE,NA,"0.1.4"
"23","655",2022-09-01 05:30:00,85,85,0,47,FALSE,NA,"0.1.4"
"24","655",2022-09-01 05:45:00,88,88,0,50,FALSE,NA,"0.1.4"
"25","655",2022-09-01 06:00:00,90,90,0,52,FALSE,NA,"0.1.4"
"26","655",2022-09-01 06:15:00,92,92,0,54,FALSE,NA,"0.1.4"
"27","655",2022-09-01 06:30:00,94,94,0,56,FALSE,NA,"0.1.4"
"28","655",2022-09-01 06:45:00,97,97,0,59,FALSE,NA,"0.1.4"
"29","655",2022-09-01 07:00:00,98,98,0,60,FALSE,NA,"0.1.4"
"30","655",2022-09-01 07:15:00,104,104,0,66,FALSE,NA,"0.1.4"
"31","655",2022-09-01 07:30:00,105,105,0,67,FALSE,NA,"0.1.4"
"32","655",2022-09-01 07:45:00,106,106,0,68,FALSE,NA,"0.1.4"
"33","655",2022-09-01 08:00:00,109,109,0,71,FALSE,NA,"0.1.4"
"34","655",2022-09-01 08:15:00,109,109,0,71,FALSE,NA,"0.1.4"
"35","655",2022-09-01 08:30:00,109,109,0,71,FALSE,NA,"0.1.4"
"36","655",2022-09-01 08:45:00,115,115,0,77,FALSE,NA,"0.1.4"
"37","655",2022-09-01 09:00:00,114,115,1,77,FALSE,NA,"0.1.4"
"38","655",2022-09-01 09:15:00,115,115,0,77,FALSE,NA,"0.1.4"
"39","655",2022-09-01 09:30:00,115,115,0,77,FALSE,NA,"0.1.4"
"40","655",2022-09-01 09:45:00,118,118,0,80,FALSE,NA,"0.1.4"
"41","655",2022-09-01 10:00:00,124,124,0,86,FALSE,NA,"0.1.4"
"42","655",2022-09-01 10:15:00,124,124,0,86,FALSE,NA,"0.1.4"
"43","655",2022-09-01 10:30:00,124,124,0,86,FALSE,NA,"0.1.4"
"44","655",2022-09-01 10:45:00,124,124,0,86,FALSE,NA,"0.1.4"
"45","655",2022-09-01 11:00:00,126,126,0,88,FALSE,NA,"0.1.4"
"46","655",2022-09-01 11:15:00,129,129,0,91,FALSE,NA,"0.1.4"
"47","655",2022-09-01 11:30:00,131,131,0,93,FALSE,NA,"0.1.4"
"48","655",2022-09-01 11:45:00,130,131,1,93,FALSE,NA,"0.1.4"
"49","655",2022-09-01 12:00:00,131,131,0,93,FALSE,NA,"0.1.4"
"50","655",2022-09-01 12:15:00,131,131,0,93,FALSE,NA,"0.1.4"
"51","655",2022-09-01 12:30:00,132,132,0,94,FALSE,NA,"0.1.4"
"52","655",2022-09-01 12:45:00,135,135,0,97,FALSE,NA,"0.1.4"
"53","655",2022-09-01 13:00:00,135,135,0,97,FALSE,NA,"0.1.4"
"54","655",2022-09-01 13:15:00,135,135,0,97,FALSE,NA,"0.1.4"
"55","655",2022-09-01 13:30:00,136,136,0,98,FALSE,NA,"0.1.4"
"56","655",2022-09-01 13:45:00,136,136,0,98,FALSE,NA,"0.1.4"
"57","655",2022-09-01 14:00:00,137,137,0,99,FALSE,NA,"0.1.4"
"58","655",2022-09-01 14:15:00,137,137,0,99,FALSE,NA,"0.1.4"
"59","655",2022-09-01 14:30:00,137,137,0,99,FALSE,NA,"0.1.4"
"60","655",2022-09-01 14:45:00,137,137,0,99,FALSE,NA,"0.1.4"
"61","655",2022-09-01 15:00:00,142,142,0,104,FALSE,NA,"0.1.4"
"62","655",2022-09-01 15:15:00,141,142,1,104,FALSE,NA,"0.1.4"
"63","655",2022-09-01 15:30:00,141,142,1,104,FALSE,NA,"0.1.4"
"64","655",2022-09-01 15:45:00,141,142,1,104,FALSE,NA,"0.1.4"
"65","655",2022-09-01 16:00:00,141,142,1,104,FALSE,NA,"0.1.4"
"66","655",2022-09-01 16:15:00,140,142,2,104,FALSE,NA,"0.1.4"
"67","655",2022-09-01 16:30:00,140,142,2,104,FALSE,NA,"0.1.4"
"68","655",2022-09-01 16:45:00,140,142,2,104,FALSE,NA,"0.1.4"
"69","655",2022-09-01 17:00:00,141,142,1,104,FALSE,NA,"0.1.4"
"70","655",2022-09-01 17:15:00,141,142,1,104,FALSE,NA,"0.1.4"
"71","655",2022-09-01 17:30:00,142,142,0,104,FALSE,NA,"0.1.4"
"72","655",2022-09-01 17:45:00,140,142,2,104,FALSE,NA,"0.1.4"
"73","655",2022-09-01 18:00:00,140,142,2,104,FALSE,NA,"0.1.4"
"74","655",2022-09-01 18:15:00,139,142,3,104,FALSE,NA,"0.1.4"
"75","655",2022-09-01 18:30:00,138,142,4,104,FALSE,NA,"0.1.4"
"76","655",2022-09-01 18:45:00,137,142,5,104,FALSE,NA,"0.1.4"
"77","655",2022-09-01 19:00:00,134,142,8,104,FALSE,NA,"0.1.4"
"78","655",2022-09-01 19:15:00,134,142,8,104,FALSE,NA,"0.1.4"
"79","655",2022-09-01 19:30:00,131,142,11,104,FALSE,NA,"0.1.4"
"80","655",2022-09-01 19:45:00,129,142,13,104,FALSE,NA,"0.1.4"
"81","655",2022-09-01 20:00:00,124,142,18,104,FALSE,NA,"0.1.4"
"82","655",2022-09-01 20:15:00,122,142,20,104,FALSE,NA,"0.1.4"
"83","655",2022-09-01 20:30:00,118,142,24,104,FALSE,NA,"0.1.4"
"84","655",2022-09-01 20:45:00,116,142,26,104,FALSE,NA,"0.1.4"
"85","655",2022-09-01 21:00:00,113,142,29,104,FALSE,NA,"0.1.4"
"86","655",2022-09-01 21:15:00,110,142,32,104,FALSE,NA,"0.1.4"
"87","655",2022-09-01 21:30:00,108,142,34,104,FALSE,NA,"0.1.4"
"88","655",2022-09-01 21:45:00,107,142,35,104,FALSE,NA,"0.1.4"
"89","655",2022-09-01 22:00:00,102,142,40,104,FALSE,NA,"0.1.4"
"90","655",2022-09-01 22:15:00,95,142,47,104,FALSE,NA,"0.1.4"
"91","655",2022-09-01 22:30:00,95,142,47,104,FALSE,NA,"0.1.4"
"92","655",2022-09-01 22:45:00,90,142,52,104,FALSE,NA,"0.1.4"
"93","655",2022-09-01 23:00:00,90,142,52,104,FALSE,NA,"0.1.4"
"94","655",2022-09-01 23:15:00,86,142,56,104,FALSE,"out1, fill","0.1.4"
"95","655",2022-09-01 23:30:00,82,142,60,104,FALSE,NA,"0.1.4"
"96","655",2022-09-01 23:45:00,81,142,61,104,FALSE,NA,"0.1.4"
"97","655",2022-09-02,81,142,61,104,FALSE,NA,"0.1.4"
"98","655",2022-09-02 00:15:00,81,142,61,104,FALSE,NA,"0.1.4"
"99","655",2022-09-02 00:30:00,81,142,61,104,FALSE,NA,"0.1.4"
"100","655",2022-09-02 00:45:00,81,142,61,104,FALSE,NA,"0.1.4"
"101","655",2022-09-02 01:00:00,81,142,61,104,FALSE,NA,"0.1.4"
"102","655",2022-09-02 01:15:00,81,142,61,104,FALSE,NA,"0.1.4"
"103","655",2022-09-02 01:30:00,81,142,61,104,FALSE,NA,"0.1.4"
"104","655",2022-09-02 01:45:00,81,142,61,104,FALSE,NA,"0.1.4"
"105","655",2022-09-02 02:00:00,81,142,61,104,FALSE,NA,"0.1.4"
"106","655",2022-09-02 02:15:00,82,142,60,104,FALSE,NA,"0.1.4"
"107","655",2022-09-02 02:30:00,82,142,60,104,FALSE,NA,"0.1.4"
"108","655",2022-09-02 02:45:00,83,142,59,104,FALSE,NA,"0.1.4"
"109","655",2022-09-02 03:00:00,83,142,59,104,FALSE,NA,"0.1.4"
"110","655",2022-09-02 03:15:00,86,142,56,104,FALSE,NA,"0.1.4"
"111","655",2022-09-02 03:30:00,88,142,54,104,FALSE,NA,"0.1.4"
"112","655",2022-09-02 03:45:00,90,142,52,104,FALSE,NA,"0.1.4"
"113","655",2022-09-02 04:00:00,92,142,50,104,FALSE,NA,"0.1.4"
