"","ts","value","yr"
"134",2022-11-22 09:15:00,1068,"2022"
"135",2022-11-22 09:30:00,1068,"2022"
"136",2022-11-22 09:45:00,1068,"2022"
"137",2022-11-22 10:00:00,1068,"2022"
"138",2022-11-22 10:15:00,1068,"2022"
"139",2022-11-22 10:30:00,1068,"2022"
"140",2022-11-22 10:45:00,1068,"2022"
"141",2022-11-22 11:00:00,1068,"2022"
"142",2022-11-22 11:15:00,1068,"2022"
"143",2022-11-22 11:30:00,1068,"2022"
"144",2022-11-22 11:45:00,1068,"2022"
"145",2022-11-22 12:00:00,1068,"2022"
"146",2022-11-22 12:15:00,1068,"2022"
"147",2022-11-22 12:30:00,1068,"2022"
"148",2022-11-22 12:45:00,1068,"2022"
"149",2022-11-22 13:00:00,1068,"2022"
"150",2022-11-22 13:15:00,1068,"2022"
"151",2022-11-22 13:30:00,1068,"2022"
"152",2022-11-22 13:45:00,1068,"2022"
"153",2022-11-22 14:00:00,1068,"2022"
"154",2022-11-22 14:15:00,1068,"2022"
"155",2022-11-22 14:30:00,1068,"2022"
"156",2022-11-22 14:45:00,1068,"2022"
"157",2022-11-22 15:00:00,1068,"2022"
"158",2022-11-22 15:15:00,1068,"2022"
"159",2022-11-22 15:30:00,1068,"2022"
"160",2022-11-22 15:45:00,1068,"2022"
"161",2022-11-22 16:00:00,1068,"2022"
"162",2022-11-22 16:15:00,1068,"2022"
"163",2022-11-22 16:30:00,1068,"2022"
"164",2022-11-22 16:45:00,1068,"2022"
"165",2022-11-22 17:00:00,1068,"2022"
"166",2022-11-22 17:15:00,1068,"2022"
"167",2022-11-22 17:30:00,1068,"2022"
"168",2022-11-22 17:45:00,1068,"2022"
"169",2022-11-22 18:00:00,1068,"2022"
"170",2022-11-22 18:15:00,1068,"2022"
"171",2022-11-22 18:30:00,1068,"2022"
"172",2022-11-22 18:45:00,1068,"2022"
"173",2022-11-22 19:00:00,1068,"2022"
"174",2022-11-22 19:15:00,1068,"2022"
"175",2022-11-22 19:30:00,1068,"2022"
"176",2022-11-22 19:45:00,1068,"2022"
"177",2022-11-22 20:00:00,1068,"2022"
"178",2022-11-22 20:15:00,1068,"2022"
"179",2022-11-22 20:30:00,1068,"2022"
"180",2022-11-22 20:45:00,1068,"2022"
"181",2022-11-22 21:00:00,1068,"2022"
"182",2022-11-22 21:15:00,1068,"2022"
"183",2022-11-22 21:30:00,1068,"2022"
"184",2022-11-22 21:45:00,1068,"2022"
"185",2022-11-22 22:00:00,1068,"2022"
"186",2022-11-22 22:15:00,1068,"2022"
"187",2022-11-22 22:30:00,1068,"2022"
"188",2022-11-22 22:45:00,1068,"2022"
"189",2022-11-22 23:00:00,1068,"2022"
"190",2022-11-22 23:15:00,1068,"2022"
"191",2022-11-22 23:30:00,1068,"2022"
"192",2022-11-22 23:45:00,1068,"2022"
"193",2022-11-23,1068,"2022"
"194",2022-11-23 00:15:00,1068,"2022"
"195",2022-11-23 00:30:00,1068,"2022"
"196",2022-11-23 00:45:00,1068,"2022"
"197",2022-11-23 01:00:00,1068,"2022"
"198",2022-11-23 01:15:00,1068,"2022"
"199",2022-11-23 01:30:00,1068,"2022"
"200",2022-11-23 01:45:00,1068,"2022"
"201",2022-11-23 02:00:00,1068,"2022"
"202",2022-11-23 02:15:00,1068,"2022"
"203",2022-11-23 02:30:00,1068,"2022"
"204",2022-11-23 02:45:00,1068,"2022"
"205",2022-11-23 03:00:00,1068,"2022"
"206",2022-11-23 03:15:00,1068,"2022"
"207",2022-11-23 03:30:00,1068,"2022"
