"","month","monthlyAvg"
"1","2013-10",NA
"2","2013-11",NA
"3","2013-12",NA
"4","2014-01",NA
"5","2014-02",NA
"6","2014-03",NA
"7","2014-04",0.0146237623762376
"8","2014-05",0.0627819304152638
"9","2014-06",0.0689686702251102
"10","2014-07",0.0725861528120099
"11","2014-08",0.0622577284946237
"12","2014-09",0.0469623842592593
"13","2014-10",0.020232414874552
"14","2014-11",0.00768553240740741
"15","2014-12",0.00560315860215054
"16","2015-01",0.00761211917562724
"17","2015-02",0.0159278005210272
"18","2015-03",0.032054620906236
"19","2015-04",0.0502522282671606
"20","2015-05",0.0569472032283376
"21","2015-06",0.0788558850787766
"22","2015-07",0.0743182429403855
"23","2015-08",0.0618662634408602
"24","2015-09",0.0429225694444444
"25","2015-10",0.0205751092192226
"26","2015-11",0.00802164351851852
"27","2015-12",0.00420385304659498
"28","2016-01",0.00613888888888889
"29","2016-02",0.0135530411877395
"30","2016-03",0.024650067294751
"31","2016-04",0.0520414351851852
"32","2016-05",0.0584174985978688
"33","2016-06",0.0696584347826087
"34","2016-07",0.0758169993272034
"35","2016-08",0.0708871961465218
"36","2016-09",0.043078125
"37","2016-10",0.0137408154121864
"38","2016-11",0.00849108796296296
"39","2016-12",0.00327923387096774
"40","2017-01",0.00550537634408602
"41","2017-02",0.0108818204365079
"42","2017-03",0.0217291386271871
"43","2017-04",0.0377149143121816
"44","2017-05",0.0656738764989353
"45","2017-06",0.0662207295888824
"46","2017-07",0.0837814740143369
"47","2017-08",0.0608467741935484
"48","2017-09",0.0331974537037037
"49","2017-10",0.019376232078853
"50","2017-11",0.00709720773954351
"51","2017-12",0.0052608646953405
"52","2018-01",0.00682325268817204
"53","2018-02",0.0111552579365079
"54","2018-03",0.0252279048900852
"55","2018-04",0.0384983792544571
"56","2018-05",0.0614332922594377
"57","2018-06",0.0671092972096793
"58","2018-07",0.0767156939621373
"59","2018-08",0.0616246074472858
"60","2018-09",0.0430972222222222
"61","2018-10",0.0193371415770609
"62","2018-11",0.00760208333333333
"63","2018-12",0.00531664426523298
"64","2019-01",0.00512455197132617
"65","2019-02",0.00848139880952381
"66","2019-03",0.0300017945266936
"67","2019-04",0.0423322528363047
"68","2019-05",0.0600443747198566
"69","2019-06",0.0753879749768304
"70","2019-07",0.0715210036966506
"71","2019-08",0.0669864456144281
"72","2019-09",0.0367078703703704
"73","2019-10",0.0197010528673835
"74","2019-11",0.00794618055555556
"75","2019-12",0.00553785842293907
"76","2020-01",0.00501579301075269
"77","2020-02",0.0160834530651341
"78","2020-03",0.0290070683271626
"79","2020-04",0.0516462962962963
"80","2020-05",0.0498836115156268
"81","2020-06",0.0550105409475269
"82","2020-07",0.0778023972219111
"83","2020-08",0.0669305555555556
"84","2020-09",0.0315265046296296
"85","2020-10",0.0187791218637993
"86","2020-11",0.00758287037037037
"87","2020-12",0.0051728270609319
"88","2021-01",0.00613004032258065
"89","2021-02",0.0129496527777778
"90","2021-03",0.0322228577837595
"91","2021-04",0.0621636636636637
"92","2021-05",NA
"93","2021-06",NA
"94","2021-07",0.0746716726112258
"95","2021-08",0.0620735887096774
"96","2021-09",0.0367919194370298
"97","2021-10",0.0113672715053763
"98","2021-11",0.00755555555555556
"99","2021-12",0.00366084229390681
"100","2022-01",0.00554872311827957
"101","2022-02",0.0142371031746032
"102","2022-03",0.0272092866756393
"103","2022-04",0.0410684027777778
"104","2022-05",0.0513944830679525
"105","2022-06",0.0599597222222222
"106","2022-07",0.078289314516129
"107","2022-08",0.0686103270609319
"108","2022-09",0.0366413194444444
"109","2022-10",0.0208017502524403
"110","2022-11",0.00613761574074074
"111","2022-12",0.00427090216010165
"112","2023-01",0.00622399900830544
"113","2023-02",0.0188619582664526
"114","2023-03",0.000506260575296108
"115","2023-04",0
"116","2023-05",0
"117","2023-06",0.055378663003663
"118","2023-07",0.0875379704301075
"119","2023-08",0.0550775089605735
"120","2023-09",0.0381533564814815
"121","2023-10",0.018479502688172
"122","2023-11",0.00705416666666667
"123","2023-12",0.00499271953405018
"124","2024-01",0.00603024193548387
"125","2024-02",0.0129985632183908
"126","2024-03",0.0291785554060117
"127","2024-04",0.0471446694599628
"128","2024-05",0.0689209134885814
"129","2024-06",0.0789607752117907
"130","2024-07",0.0857129723063124
"131","2024-08",0.0625552195340502
"132","2024-09",0.0405388888888889
"133","2024-10",0
"134",NA,0.000658333333333333
