"","series","ts","value","max","twd","gro_yr","frost","flags","version","yr","gro_tot"
"1","656",2022-10-01 01:00:00,9514,9514,0,0,FALSE,NA,"0.1.4","2022",0
"2","656",2022-10-01 02:00:00,9517,9517,0,3,FALSE,NA,"0.1.4","2022",3
"3","656",2022-10-01 03:00:00,9519,9519,0,5,FALSE,NA,"0.1.4","2022",5
"4","656",2022-10-01 04:00:00,9520,9520,0,6,FALSE,NA,"0.1.4","2022",6
"5","656",2022-10-01 05:00:00,9525,9525,0,11,FALSE,NA,"0.1.4","2022",11
"6","656",2022-10-01 06:00:00,9526,9526,0,12,FALSE,NA,"0.1.4","2022",12
"7","656",2022-10-01 07:00:00,9529,9529,0,15,FALSE,NA,"0.1.4","2022",15
"8","656",2022-10-01 08:00:00,9533,9533,0,19,FALSE,NA,"0.1.4","2022",19
"9","656",2022-10-01 09:00:00,9537,9537,0,23,FALSE,NA,"0.1.4","2022",23
"10","656",2022-10-01 10:00:00,9537,9537,0,23,FALSE,NA,"0.1.4","2022",23
"11","656",2022-10-01 11:00:00,9534,9537,3,23,FALSE,NA,"0.1.4","2022",23
"12","656",2022-10-01 12:00:00,9501,9537,36,23,FALSE,"out1, fill","0.1.4","2022",23
"13","656",2022-10-01 13:00:00,9468,9537,69,23,FALSE,NA,"0.1.4","2022",23
"14","656",2022-10-01 14:00:00,9432,9537,105,23,FALSE,NA,"0.1.4","2022",23
"15","656",2022-10-01 15:00:00,9401,9537,136,23,FALSE,NA,"0.1.4","2022",23
"16","656",2022-10-01 16:00:00,9401,9537,136,23,FALSE,"jump1","0.1.4","2022",23
"17","656",2022-10-01 17:00:00,9402,9537,135,23,FALSE,NA,"0.1.4","2022",23
"18","656",2022-10-01 18:00:00,9404,9537,133,23,FALSE,NA,"0.1.4","2022",23
"19","656",2022-10-01 19:00:00,9418,9537,119,23,FALSE,NA,"0.1.4","2022",23
"20","656",2022-10-01 20:00:00,9435,9537,102,23,FALSE,NA,"0.1.4","2022",23
"21","656",2022-10-01 21:00:00,9450,9537,87,23,FALSE,NA,"0.1.4","2022",23
"22","656",2022-10-01 22:00:00,9462,9537,75,23,FALSE,NA,"0.1.4","2022",23
"23","656",2022-10-01 23:00:00,9471,9537,66,23,FALSE,NA,"0.1.4","2022",23
"24","656",2022-10-02,9479,9537,58,23,FALSE,NA,"0.1.4","2022",23
"25","656",2022-10-02 01:00:00,9486,9537,51,23,FALSE,NA,"0.1.4","2022",23
"26","656",2022-10-02 02:00:00,9493,9537,44,23,FALSE,NA,"0.1.4","2022",23
"27","656",2022-10-02 03:00:00,9500,9537,37,23,FALSE,NA,"0.1.4","2022",23
"28","656",2022-10-02 04:00:00,9507,9537,30,23,FALSE,NA,"0.1.4","2022",23
"29","656",2022-10-02 05:00:00,9507,9537,30,23,FALSE,NA,"0.1.4","2022",23
"30","656",2022-10-02 06:00:00,9514,9537,23,23,FALSE,NA,"0.1.4","2022",23
"31","656",2022-10-02 07:00:00,9518,9537,19,23,FALSE,NA,"0.1.4","2022",23
"32","656",2022-10-02 08:00:00,9522,9537,15,23,FALSE,NA,"0.1.4","2022",23
"33","656",2022-10-02 09:00:00,9524,9537,13,23,FALSE,NA,"0.1.4","2022",23
"34","656",2022-10-02 10:00:00,9525,9537,12,23,FALSE,NA,"0.1.4","2022",23
"35","656",2022-10-02 11:00:00,9525,9537,12,23,FALSE,NA,"0.1.4","2022",23
"36","656",2022-10-02 12:00:00,9505,9537,32,23,FALSE,NA,"0.1.4","2022",23
"37","656",2022-10-02 13:00:00,9477,9537,60,23,FALSE,NA,"0.1.4","2022",23
"38","656",2022-10-02 14:00:00,9447,9537,90,23,FALSE,NA,"0.1.4","2022",23
"39","656",2022-10-02 15:00:00,9411,9537,126,23,FALSE,"out1, fill","0.1.4","2022",23
"40","656",2022-10-02 16:00:00,9375,9537,162,23,FALSE,NA,"0.1.4","2022",23
"41","656",2022-10-02 17:00:00,9374,9537,163,23,FALSE,NA,"0.1.4","2022",23
"42","656",2022-10-02 18:00:00,9375,9537,162,23,FALSE,NA,"0.1.4","2022",23
"43","656",2022-10-02 19:00:00,9380,9537,157,23,FALSE,NA,"0.1.4","2022",23
"44","656",2022-10-02 20:00:00,9396,9537,141,23,FALSE,NA,"0.1.4","2022",23
"45","656",2022-10-02 21:00:00,9416,9537,121,23,FALSE,NA,"0.1.4","2022",23
"46","656",2022-10-02 22:00:00,9423,9537,114,23,FALSE,NA,"0.1.4","2022",23
"47","656",2022-10-02 23:00:00,9436,9537,101,23,FALSE,NA,"0.1.4","2022",23
"48","656",2022-10-03,9446,9537,91,23,FALSE,NA,"0.1.4","2022",23
"49","656",2022-10-03 01:00:00,9456,9537,81,23,FALSE,NA,"0.1.4","2022",23
"50","656",2022-10-03 02:00:00,9466,9537,71,23,FALSE,NA,"0.1.4","2022",23
"51","656",2022-10-03 03:00:00,9466,9537,71,23,FALSE,NA,"0.1.4","2022",23
"52","656",2022-10-03 04:00:00,9474,9537,63,23,FALSE,NA,"0.1.4","2022",23
"53","656",2022-10-03 05:00:00,9479,9537,58,23,FALSE,NA,"0.1.4","2022",23
"54","656",2022-10-03 06:00:00,9484,9537,53,23,FALSE,NA,"0.1.4","2022",23
"55","656",2022-10-03 07:00:00,9489,9537,48,23,FALSE,NA,"0.1.4","2022",23
"56","656",2022-10-03 08:00:00,9494,9537,43,23,FALSE,NA,"0.1.4","2022",23
"57","656",2022-10-03 09:00:00,9495,9537,42,23,FALSE,NA,"0.1.4","2022",23
"58","656",2022-10-03 10:00:00,9495,9537,42,23,FALSE,NA,"0.1.4","2022",23
"59","656",2022-10-03 11:00:00,9496,9537,41,23,FALSE,NA,"0.1.4","2022",23
"60","656",2022-10-03 12:00:00,9484,9537,53,23,FALSE,NA,"0.1.4","2022",23
"61","656",2022-10-03 13:00:00,9459,9537,78,23,FALSE,NA,"0.1.4","2022",23
"62","656",2022-10-03 14:00:00,9422,9537,115,23,FALSE,NA,"0.1.4","2022",23
"63","656",2022-10-03 15:00:00,9422,9537,115,23,FALSE,"jump1","0.1.4","2022",23
"64","656",2022-10-03 16:00:00,9410,9537,127,23,FALSE,NA,"0.1.4","2022",23
"65","656",2022-10-03 17:00:00,9412,9537,125,23,FALSE,NA,"0.1.4","2022",23
"66","656",2022-10-03 18:00:00,9412,9537,125,23,FALSE,NA,"0.1.4","2022",23
"67","656",2022-10-03 19:00:00,9413,9537,124,23,FALSE,NA,"0.1.4","2022",23
"68","656",2022-10-03 20:00:00,9423,9537,114,23,FALSE,NA,"0.1.4","2022",23
"69","656",2022-10-03 21:00:00,9436,9537,101,23,FALSE,NA,"0.1.4","2022",23
"70","656",2022-10-03 22:00:00,9450,9537,87,23,FALSE,NA,"0.1.4","2022",23
"71","656",2022-10-03 23:00:00,9461,9537,76,23,FALSE,NA,"0.1.4","2022",23
"72","656",2022-10-04,9471.5,9537,65.5,23,FALSE,NA,"0.1.4","2022",23
"73","656",2022-10-04 01:00:00,9479,9537,58,23,FALSE,NA,"0.1.4","2022",23
"74","656",2022-10-04 02:00:00,9490,9537,47,23,FALSE,NA,"0.1.4","2022",23
"75","656",2022-10-04 03:00:00,9498,9537,39,23,FALSE,NA,"0.1.4","2022",23
"76","656",2022-10-04 04:00:00,9504,9537,33,23,FALSE,NA,"0.1.4","2022",23
"77","656",2022-10-04 05:00:00,9507,9537,30,23,FALSE,NA,"0.1.4","2022",23
"78","656",2022-10-04 06:00:00,9513,9537,24,23,FALSE,NA,"0.1.4","2022",23
"79","656",2022-10-04 07:00:00,9517,9537,20,23,FALSE,NA,"0.1.4","2022",23
"80","656",2022-10-04 08:00:00,9521,9537,16,23,FALSE,NA,"0.1.4","2022",23
"81","656",2022-10-04 09:00:00,9527,9537,10,23,FALSE,NA,"0.1.4","2022",23
"82","656",2022-10-04 10:00:00,9527,9537,10,23,FALSE,NA,"0.1.4","2022",23
"83","656",2022-10-04 11:00:00,9527,9537,10,23,FALSE,NA,"0.1.4","2022",23
"84","656",2022-10-04 12:00:00,9518,9537,19,23,FALSE,NA,"0.1.4","2022",23
"85","656",2022-10-04 13:00:00,9518,9537,19,23,FALSE,"jump1","0.1.4","2022",23
"86","656",2022-10-04 14:00:00,9486,9537,51,23,FALSE,NA,"0.1.4","2022",23
"87","656",2022-10-04 15:00:00,9450.5,9537,86.5,23,FALSE,"out1, fill","0.1.4","2022",23
"88","656",2022-10-04 16:00:00,9415,9537,122,23,FALSE,NA,"0.1.4","2022",23
"89","656",2022-10-04 17:00:00,9416,9537,121,23,FALSE,NA,"0.1.4","2022",23
"90","656",2022-10-04 18:00:00,9416,9537,121,23,FALSE,NA,"0.1.4","2022",23
"91","656",2022-10-04 19:00:00,9415,9537,122,23,FALSE,NA,"0.1.4","2022",23
"92","656",2022-10-04 20:00:00,9430,9537,107,23,FALSE,NA,"0.1.4","2022",23
"93","656",2022-10-04 21:00:00,9446,9537,91,23,FALSE,NA,"0.1.4","2022",23
"94","656",2022-10-04 22:00:00,9457,9537,80,23,FALSE,NA,"0.1.4","2022",23
"95","656",2022-10-04 23:00:00,9471,9537,66,23,FALSE,NA,"0.1.4","2022",23
"96","656",2022-10-05,9481,9537,56,23,FALSE,NA,"0.1.4","2022",23
"97","656",2022-10-05 01:00:00,9492,9537,45,23,FALSE,NA,"0.1.4","2022",23
"98","656",2022-10-05 02:00:00,9506,9537,31,23,FALSE,NA,"0.1.4","2022",23
"99","656",2022-10-05 03:00:00,9513,9537,24,23,FALSE,NA,"0.1.4","2022",23
"100","656",2022-10-05 04:00:00,9518,9537,19,23,FALSE,NA,"0.1.4","2022",23
"101","656",2022-10-05 05:00:00,9527,9537,10,23,FALSE,NA,"0.1.4","2022",23
"102","656",2022-10-05 06:00:00,9528,9537,9,23,FALSE,NA,"0.1.4","2022",23
"103","656",2022-10-05 07:00:00,9535,9537,2,23,FALSE,NA,"0.1.4","2022",23
"104","656",2022-10-05 08:00:00,9542,9542,0,28,FALSE,NA,"0.1.4","2022",28
