"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"55",1955,NA,NA,NA,NA,NA,NA,0.0413385826771654,0.383333333333333,NA,NA,NA,NA,NA
"56",1956,"earlywood",0.0193691200885445,0.143995446784291,0.423443889141299,0.137534818941504,0.0132325141776938,NA,NA,0.276884422110553,NA,NA,NA,NA
"57",1956,"latewood",0.0111712931618145,0.134423251589464,0.473218051455082,0.567108294930876,0.221638655462185,NA,NA,0.345120707242435,NA,NA,NA,NA
"58",1956,NA,NA,NA,NA,NA,NA,0.0413385826771654,0.381944444444444,NA,NA,NA,NA,NA
"59",1957,"earlywood",0.0236118797269876,0.180421172453045,0.384825079509314,0.152274837511606,0.0667926906112161,NA,NA,0.32964824120603,NA,NA,NA,NA
"60",1957,"latewood",0.00727826675693974,0.114895549500454,0.312526360185576,0.414746543778802,0.334033613445378,NA,NA,0.301938116286977,NA,NA,NA,NA
"61",1957,NA,NA,NA,NA,NA,NA,0.0275590551181102,0.381944444444444,NA,NA,NA,NA,NA
"62",1958,"earlywood",0.0237963475373547,0.469550369948776,0.606088141753748,0.164577530176416,0.173282923755514,NA,NA,0.382914572864322,NA,NA,NA,NA
"63",1958,"latewood",0.00710900473933649,0.0104450499545867,0.402361872627583,0.274481566820277,0.244747899159664,NA,NA,0.301938116286977,NA,NA,NA,NA
"64",1958,NA,NA,NA,NA,NA,NA,0.152887139107612,0.352777777777778,NA,NA,NA,NA,NA
"65",1959,"earlywood",0.012174875484228,0.409220261809903,0.452067242162653,0.132660167130919,0.120352867044738,NA,NA,0.574371859296482,NA,NA,NA,NA
"66",1959,"latewood",0.021665538253216,0.0190735694822888,0.330662167861662,0.225518433179723,0.199579831932773,NA,NA,0.409724583475009,NA,NA,NA,NA
"67",1959,NA,NA,NA,NA,NA,NA,0.0833333333333334,0.470833333333333,NA,NA,NA,NA,NA
"68",1960,"earlywood",0.0160486995019369,0.289129197495731,0.557928214447978,0.144962859795729,0.106490233144297,NA,NA,0.691959798994975,NA,NA,NA,NA
"69",1960,"latewood",0.0214962762356127,0.297910990009083,0.535638970898355,0.487903225806452,0.310924369747899,NA,NA,0.474328459707582,NA,NA,NA,NA
"70",1960,NA,NA,NA,NA,NA,NA,0,0.765277777777778,NA,NA,NA,NA,NA
"71",1961,"earlywood",0.0119904076738609,0.361411496869664,0.673330304407088,0.112929433611885,0.213610586011342,NA,NA,0.808040201005025,NA,NA,NA,NA
"72",1961,"latewood",0.010832769126608,0.172570390554042,0.437789962041333,0.0305299539170507,0.199579831932773,NA,NA,0.460047602856171,NA,NA,NA,NA
"73",1961,NA,NA,NA,NA,NA,NA,0.110892388451444,0.618055555555556,NA,NA,NA,NA,NA
