"","year","309_A_E","309_A_L","309_B_E","309_B_L","310_A_E","310_A_L","310_B_E","310_B_L","311_A_E","311_A_L","311_B_E","311_B_L","646_A_E","646_A_L","646_B_E","646_B_L","648_A_E","648_A_L","648_B2E","648_B2L","652_A_E","652_A_L","652_B_E","652_B_L","654_A_E","654_A_L","654_B_E","654_B_L","655_A_E","655_A_L","655_B_E","655_B_L","656_A_E","656_A_L","656_B_E","656_B_L","860_A_E","860_A_L","860_B_E","860_B_L"
"180","1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
