"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"56",1956,"earlywood",0.1155,0.3385,0.7305,0.889,0.254,NA,NA,0.6355,NA,NA,NA,NA
"57",1956,"latewood",0.0645,0.339,0.7725,1.2065,0.296,NA,NA,0.794,NA,NA,NA,NA
"58",1956,NA,NA,NA,NA,NA,NA,0.275,0.296,NA,NA,NA,NA,NA
"59",1957,"earlywood",0.127,0.3705,0.688,0.9525,0.339,NA,NA,0.688,NA,NA,NA,NA
"60",1957,"latewood",0.053,0.3175,0.582,0.942,0.403,NA,NA,0.7305,NA,NA,NA,NA
"61",1957,NA,NA,NA,NA,NA,NA,0.254,0.296,NA,NA,NA,NA,NA
"62",1958,"earlywood",0.1275,0.6245,0.9315,1.0055,0.508,NA,NA,0.741,NA,NA,NA,NA
"63",1958,"latewood",0.0525,0.2025,0.6885,0.6985,0.318,NA,NA,0.7305,NA,NA,NA,NA
"64",1958,NA,NA,NA,NA,NA,NA,0.445,0.275,NA,NA,NA,NA,NA
"65",1959,"earlywood",0.096,0.5715,0.762,0.868,0.424,NA,NA,0.9315,NA,NA,NA,NA
"66",1959,"latewood",0.0955,0.212,0.6035,0.6135,0.275,NA,NA,0.889,NA,NA,NA,NA
"67",1959,NA,NA,NA,NA,NA,NA,0.339,0.36,NA,NA,NA,NA,NA
"68",1960,"earlywood",0.1065,0.466,0.8785,0.921,0.402,NA,NA,1.0485,NA,NA,NA,NA
"69",1960,"latewood",0.095,0.519,0.8465,1.069,0.381,NA,NA,0.984,NA,NA,NA,NA
"70",1960,NA,NA,NA,NA,NA,NA,0.212,0.572,NA,NA,NA,NA,NA
"71",1961,"earlywood",0.0955,0.5295,1.0055,0.783,0.572,NA,NA,1.164,NA,NA,NA,NA
"72",1961,"latewood",0.0635,0.381,0.7305,0.275,0.275,NA,NA,0.963,NA,NA,NA,NA
"73",1961,NA,NA,NA,NA,NA,NA,0.381,0.466,NA,NA,NA,NA,NA
"74",1962,"earlywood",0.063,0.4235,0.762,0.519,0.466,NA,NA,1.1645,NA,NA,NA,NA
"75",1962,"latewood",0.0645,0.5295,0.8785,0.381,0.466,NA,NA,1.2595,NA,NA,NA,NA
"76",1962,NA,NA,NA,NA,NA,NA,0.317,0.572,NA,NA,NA,NA,NA
"77",1963,"earlywood",0.127,0.498,0.9315,0.699,0.656,NA,NA,1.1535,NA,NA,NA,NA
"78",1963,"latewood",0.0635,0.7945,0.868,1.0055,0.571,NA,NA,1.715,NA,NA,NA,NA
"79",1963,NA,NA,NA,NA,NA,NA,0.805,0.614,NA,NA,NA,NA,NA
"80",1964,"earlywood",0.106,0.731,0.889,1.0475,1.312,NA,NA,1.038,NA,NA,NA,NA
"81",1964,"latewood",0.064,0.561,0.6985,0.942,0.508,NA,NA,1.757,NA,NA,NA,NA
"82",1964,NA,NA,NA,NA,NA,NA,1.101,0.487,NA,NA,NA,NA,NA
"83",1965,"earlywood",0.1675,0.879,0.6775,2.889,0.995,NA,NA,0.974,NA,NA,NA,NA
"84",1965,"latewood",0.066,1.0695,0.6245,0.921,0.55,NA,NA,0.7935,NA,NA,NA,NA
"85",1965,NA,NA,NA,NA,NA,NA,0.974,0.508,NA,NA,NA,NA,NA
"86",1966,"earlywood",0.148,0.7625,0.4975,1.27,0.487,NA,NA,0.7725,NA,NA,NA,NA
"87",1966,"latewood",0.053,0.6355,0.3705,1.376,0.508,NA,NA,0.466,NA,NA,NA,NA
"88",1966,NA,NA,NA,NA,NA,NA,0.487,0.505,NA,NA,NA,NA,NA
"89",1967,"earlywood",0.2435,0.9315,0.5505,1.8735,0.805,NA,NA,0.932,NA,NA,NA,NA
"90",1967,"latewood",0.0425,0.508,0.508,0.963,0.487,NA,NA,0.349,NA,NA,NA,NA
"91",1967,NA,NA,NA,NA,NA,NA,0.868,0.317,NA,NA,NA,NA,NA
"92",1968,"earlywood",0.1585,0.5825,0.4445,1.185,0.487,NA,NA,1.048,2.455,NA,NA,NA
"93",1968,"latewood",0.0315,0.307,0.529,0.8365,0.402,NA,NA,0.561,1.037,NA,NA,NA
"94",1968,NA,NA,NA,NA,NA,NA,0.445,0.317,NA,NA,NA,NA,NA
"95",1969,"earlywood",0.159,0.731,0.5395,0.9205,0.783,NA,NA,1.037,2.688,NA,NA,NA
"96",1969,"latewood",0.0845,0.4765,0.4975,1.905,0.635,NA,NA,1.2595,1.058,NA,NA,NA
"97",1969,NA,NA,NA,NA,NA,NA,0.783,0.487,NA,NA,NA,NA,NA
"98",1970,"earlywood",0.223,0.71,0.582,1.291,0.805,NA,NA,0.847,4.276,NA,NA,NA
"99",1970,"latewood",0.0955,0.4555,0.381,1.0585,0.487,NA,NA,1.7145,1.376,NA,NA,NA
"100",1970,NA,NA,NA,NA,NA,NA,0.635,0.529,NA,NA,NA,NA,NA
"101",1971,"earlywood",0.2965,0.7725,0.5505,1.9365,1.207,NA,NA,0.995,4.361,8.139,NA,NA
"102",1971,"latewood",0.1165,0.5825,0.4655,0.7195,0.529,NA,NA,1.6935,1.7885,1.908,NA,NA
"103",1971,NA,NA,NA,NA,NA,NA,0.804,0.487,NA,NA,NA,NA,NA
"104",1972,"earlywood",0.2335,0.9325,0.6665,1.0055,0.931,NA,NA,0.953,3.546,5.066,NA,NA
"105",1972,"latewood",0.127,0.889,0.635,0.889,1.037,NA,NA,1.122,1.907,1.441,NA,NA
"106",1972,NA,NA,NA,NA,NA,NA,0.995,0.508,NA,NA,NA,NA,NA
"107",1973,"earlywood",0.2225,0.805,0.6245,1.037,0.931,NA,NA,0.889,2.9105,5.66,NA,NA
"108",1973,"latewood",0.106,0.593,0.4445,0.7305,0.656,NA,NA,0.5085,2.6565,1.759,NA,NA
"109",1973,NA,NA,NA,NA,NA,NA,0.805,0.656,NA,NA,NA,NA,NA
"110",1974,"earlywood",0.2645,0.858,0.5715,1.2385,0.635,NA,NA,0.9735,2.932,8.4335,NA,NA
"111",1974,"latewood",0.233,0.4445,0.4125,0.6775,0.423,NA,NA,0.328,2.127,2.399,NA,NA
"112",1974,NA,NA,NA,NA,NA,NA,0.593,0.55,NA,NA,NA,NA,NA
"113",1975,"earlywood",0.3065,1.0385,0.762,1.6405,0.783,NA,NA,0.889,3.26,7.5285,2.669,NA
"114",1975,"latewood",0.2225,0.8675,0.8255,1.471,0.593,NA,NA,0.4025,1.7145,1.3885,2.603,NA
"115",1975,NA,NA,NA,NA,NA,NA,0.656,0.635,NA,NA,NA,NA,NA
"116",1976,"earlywood",0.339,0.8475,0.8355,1.3655,0.572,NA,NA,0.7305,3.0165,6.316,2.754,NA
"117",1976,"latewood",0.5505,0.635,0.953,1.3445,0.444,NA,NA,1.0265,1.4075,1.512,0.931,NA
"118",1976,NA,NA,NA,NA,NA,NA,0.381,0.021,NA,NA,NA,NA,NA
"119",1977,"earlywood",0.4125,0.6675,0.688,1.344,0.826,NA,NA,0.773,2.5405,4.4435,1.567,NA
"120",1977,"latewood",0.265,0.455,0.6665,0.7195,0.508,NA,NA,0.921,1.4395,1.2835,1.016,NA
"121",1977,NA,NA,NA,NA,NA,NA,0.677,0.551,NA,NA,NA,NA,NA
"122",1978,"earlywood",0.318,0.5505,0.762,0.9,1.249,NA,NA,1.122,1.397,3.27,1.312,9.443
"123",1978,"latewood",0.201,0.7725,0.9525,0.8575,0.55,NA,NA,1.186,1.5875,2.161,1.333,5.08
"124",1978,NA,NA,NA,NA,NA,NA,1.122,0.551,NA,NA,NA,NA,NA
"125",1979,"earlywood",0.2645,0.5085,0.752,0.73,1.016,NA,NA,1.207,1.619,2.899,1.674,5.6095
"126",1979,"latewood",0.2225,0.498,0.4025,0.6245,0.571,NA,NA,0.794,0.9105,1.8005,2.371,2.837
"127",1979,NA,NA,NA,NA,NA,NA,0.783,0.571,NA,NA,NA,NA,NA
"128",1980,"earlywood",0.4445,0.805,0.762,1.312,1.185,NA,NA,1.291,1.715,5.207,2.286,6.965
"129",1980,"latewood",0.4025,0.593,0.54,0.6565,0.55,NA,NA,0.9525,0.899,1.6515,2.564,2.593
"130",1980,NA,NA,NA,NA,NA,NA,1.016,0.699,NA,NA,NA,NA,NA
