"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"252",2021,"latewood",1.736,0.4875,0.349,0.6565,0.169,NA,NA,0.3065,2.0425,1.7565,0.8685,1.292
"253",2021,NA,NA,NA,NA,NA,NA,0.593,0.169,NA,NA,NA,NA,NA
"254",2022,"earlywood",1.863,0.4975,0.54,0.519,0.572,NA,NA,1.027,1.302,2.5825,1.281,1.5455
"255",2022,"latewood",1.0695,0.2445,0.2855,0.4755,0.19,NA,NA,0.381,1.0435,1.4505,1.08,1.1115
"256",2022,NA,NA,NA,NA,NA,NA,0.402,0.381,NA,NA,NA,NA,NA
"257",2023,"earlywood",1.0905,0.582,0.3495,0.455,0.487,NA,NA,0.816,1.4715,1.577,1.0585,1.3125
"258",2023,"latewood",0.8575,0.275,0.339,0.466,0.213,NA,NA,0.529,0.7935,0.942,0.932,0.8265
"259",2023,NA,NA,NA,NA,NA,NA,0.403,0.339,NA,NA,NA,NA,NA
"260",2024,"earlywood",1.048,0.4445,0.2645,0.2965,0.487,NA,NA,0.7515,1.3865,2.265,NA,1.1645
"261",2024,"latewood",0.879,0.213,0.2115,0.5925,0.085,NA,NA,0.614,1.397,1.3335,NA,0.794
"262",2024,NA,NA,NA,NA,NA,NA,0.36,0.318,NA,NA,NA,NA,NA
"263",2025,"earlywood",NA,NA,NA,NA,NA,NA,NA,0.847,NA,NA,NA,NA
"264",2025,"latewood",NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
