"","series","ts","value","max","twd","gro_yr","frost","flags","version","yr","gro_tot"
"1","860",2019-05-28 09:00:00,2170,2170,0,0,FALSE,NA,"0.1.4","2019",0
"2","860",2019-05-28 10:00:00,2170,2170,0,0,FALSE,"jump1","0.1.4","2019",0
"3","860",2019-05-28 11:00:00,2129,2170,41,0,FALSE,NA,"0.1.4","2019",0
"4","860",2019-05-28 12:00:00,2105,2170,65,0,FALSE,NA,"0.1.4","2019",0
"5","860",2019-05-28 13:00:00,2105,2170,65,0,FALSE,"jump1","0.1.4","2019",0
"6","860",2019-05-28 14:00:00,2084,2170,86,0,FALSE,NA,"0.1.4","2019",0
"7","860",2019-05-28 15:00:00,2077,2170,93,0,FALSE,NA,"0.1.4","2019",0
"8","860",2019-05-28 16:00:00,2077,2170,93,0,FALSE,NA,"0.1.4","2019",0
"9","860",2019-05-28 17:00:00,2078,2170,92,0,FALSE,NA,"0.1.4","2019",0
"10","860",2019-05-28 18:00:00,2078,2170,92,0,FALSE,NA,"0.1.4","2019",0
"11","860",2019-05-28 19:00:00,2078,2170,92,0,FALSE,NA,"0.1.4","2019",0
"12","860",2019-05-28 20:00:00,2077,2170,93,0,FALSE,NA,"0.1.4","2019",0
"13","860",2019-05-28 21:00:00,2078,2170,92,0,FALSE,NA,"0.1.4","2019",0
"14","860",2019-05-28 22:00:00,2078,2170,92,0,FALSE,NA,"0.1.4","2019",0
"15","860",2019-05-28 23:00:00,2085,2170,85,0,FALSE,NA,"0.1.4","2019",0
"16","860",2019-05-29,2091,2170,79,0,FALSE,NA,"0.1.4","2019",0
"17","860",2019-05-29 01:00:00,2098,2170,72,0,FALSE,NA,"0.1.4","2019",0
"18","860",2019-05-29 02:00:00,2105,2170,65,0,FALSE,NA,"0.1.4","2019",0
"19","860",2019-05-29 03:00:00,2112,2170,58,0,FALSE,NA,"0.1.4","2019",0
"20","860",2019-05-29 04:00:00,2118,2170,52,0,FALSE,NA,"0.1.4","2019",0
"21","860",2019-05-29 05:00:00,2125,2170,45,0,FALSE,NA,"0.1.4","2019",0
"22","860",2019-05-29 06:00:00,2125,2170,45,0,FALSE,NA,"0.1.4","2019",0
"23","860",2019-05-29 07:00:00,2132,2170,38,0,FALSE,NA,"0.1.4","2019",0
"24","860",2019-05-29 08:00:00,2132,2170,38,0,FALSE,NA,"0.1.4","2019",0
"25","860",2019-05-29 09:00:00,2134,2170,36,0,FALSE,NA,"0.1.4","2019",0
"26","860",2019-05-29 10:00:00,2132,2170,38,0,FALSE,NA,"0.1.4","2019",0
"27","860",2019-05-29 11:00:00,2111,2170,59,0,FALSE,NA,"0.1.4","2019",0
"28","860",2019-05-29 12:00:00,2081,2170,89,0,FALSE,NA,"0.1.4","2019",0
"29","860",2019-05-29 13:00:00,2081,2170,89,0,FALSE,"out1, fill","0.1.4","2019",0
"30","860",2019-05-29 14:00:00,2081,2170,89,0,FALSE,"jump1","0.1.4","2019",0
"31","860",2019-05-29 15:00:00,2075,2170,95,0,FALSE,NA,"0.1.4","2019",0
"32","860",2019-05-29 16:00:00,2068,2170,102,0,FALSE,NA,"0.1.4","2019",0
